x,y
279,919
270,911
253,904
250,897
255,878
257,868
244,852
253,855
264,836
259,828
257,813
256,789
252,765
247,745
250,723
258,687
261,677
261,652
265,635
255,635
247,658
246,672
263,637
275,635
294,627
318,631
320,632
318,632
340,635
349,630
354,630
373,629
375,628
395,628
405,628
404,627
424,628
430,628
434,633
458,626
470,626
475,627
489,626
496,626
512,624
520,621
530,610
549,613
547,622
563,621
568,616
569,617
582,618
609,616
620,614
616,615
641,614
647,618
658,617
672,614
667,616
673,615
675,614
675,614
739,611
755,611
768,615
770,611
779,611
788,610
798,609
809,606
832,612
841,614
841,605
852,602
861,602
868,598
869,600
877,590
874,580
864,570
853,572
854,566
844,564
834,555
813,539
808,535
802,523
793,515
779,522
774,513
754,523
740,513
738,516
717,516
722,507
717,506
708,496
697,485
691,476
672,451
666,439
663,433
662,422
657,413
656,382
660,388
658,381
652,366
630,354
620,349
626,315
625,302
627,296
652,264
674,251
717,248
754,256
784,256
756,249
761,247
772,262
774,287
758,305
750,321
723,346
703,344
684,350
654,347
639,326
632,320
621,297
610,273
598,251
604,219
